,Country,Sex,2016,2015,2010,2000
296,Madagascar, Female,3.6,3.7,4.2,5.0
297,Malawi, Both sexes,7.8,7.6,8.1,11.9
298,Malawi, Male,13.7,13.3,14.2,20.3
299,Malawi, Female,3.2,3.2,3.2,4.7
300,Malaysia, Both sexes,6.2,6.1,6.3,7.4
301,Malaysia, Male,8.7,8.7,9.0,10.4
302,Malaysia, Female,3.6,3.6,3.6,4.4
303,Maldives, Both sexes,2.7,3.0,3.7,6.5
304,Maldives, Male,3.6,4.0,4.7,7.7
305,Maldives, Female,1.6,1.8,2.4,5.1
306,Mali, Both sexes,8.9,8.9,8.7,9.0
307,Mali, Male,13.5,13.5,13.2,13.5
308,Mali, Female,4.7,4.8,4.6,5.0
309,Malta, Both sexes,6.5,7.0,7.0,5.7
310,Malta, Male,10.3,10.8,12.2,8.9
311,Malta, Female,2.8,3.2,1.6,2.4
312,Mauritania, Both sexes,7.5,7.4,6.8,6.2
313,Mauritania, Male,12.1,11.9,11.1,9.9
314,Mauritania, Female,3.6,3.5,3.2,3.0
315,Mauritius, Both sexes,7.3,8.1,7.7,10.8
316,Mauritius, Male,12.5,12.1,12.2,17.3
317,Mauritius, Female,2.2,4.3,3.5,4.5
318,Mexico, Both sexes,5.2,5.6,4.8,4.0
319,Mexico, Male,8.2,9.0,7.9,6.9
320,Mexico, Female,2.3,2.4,1.9,1.2
321,Micronesia (Federated States of), Both sexes,11.3,11.6,11.6,12.6
322,Micronesia (Federated States of), Male,16.2,16.7,16.5,17.0
323,Micronesia (Federated States of), Female,6.2,6.4,6.8,8.3
324,Mongolia, Both sexes,13.3,13.4,16.1,19.7
325,Mongolia, Male,23.3,23.4,28.0,31.5
326,Mongolia, Female,3.8,3.9,4.8,8.2
327,Montenegro, Both sexes,7.9,7.7,8.3,9.4
328,Montenegro, Male,12.6,12.3,12.9,13.6
329,Montenegro, Female,3.6,3.5,4.1,5.6
330,Morocco, Both sexes,3.1,3.1,4.1,8.2
331,Morocco, Male,2.5,2.5,3.0,6.7
332,Morocco, Female,3.6,3.7,5.0,9.5
333,Mozambique, Both sexes,8.4,8.5,9.5,14.2
334,Mozambique, Male,14.0,14.0,15.5,22.9
335,Mozambique, Female,4.1,4.2,4.9,7.3
336,Myanmar, Both sexes,8.1,8.0,7.9,7.9
337,Myanmar, Male,6.3,6.3,6.2,4.8
338,Myanmar, Female,9.8,9.6,9.4,10.7
339,Namibia, Both sexes,11.5,11.8,13.5,14.5
340,Namibia, Male,19.4,19.8,22.7,24.3
341,Namibia, Female,4.9,5.1,5.7,5.9
342,Nepal, Both sexes,9.6,10.1,12.2,18.0
343,Nepal, Male,11.4,11.9,13.5,20.9
344,Nepal, Female,8.0,8.5,11.0,15.5
345,Netherlands, Both sexes,9.6,9.7,8.2,8.3
346,Netherlands, Male,12.9,12.9,11.6,11.4
347,Netherlands, Female,6.4,6.4,4.8,5.3
348,New Zealand, Both sexes,11.6,11.6,12.2,12.7
349,New Zealand, Male,17.3,17.3,17.7,21.3
350,New Zealand, Female,6.2,6.2,6.9,4.5
351,Nicaragua, Both sexes,11.9,11.9,12.4,18.3
352,Nicaragua, Male,19.2,19.3,19.8,29.4
353,Nicaragua, Female,5.0,5.1,5.5,8.0
354,Niger, Both sexes,9.0,9.1,9.4,8.8
355,Niger, Male,11.5,11.6,11.7,10.7
356,Niger, Female,6.7,6.7,7.2,7.0
357,Nigeria, Both sexes,17.3,17.5,18.2,18.5
358,Nigeria, Male,17.5,17.2,16.1,16.0
359,Nigeria, Female,17.1,17.6,20.1,20.6
360,Norway, Both sexes,10.1,10.2,10.6,12.0
361,Norway, Male,13.6,13.3,14.7,18.1
362,Norway, Female,6.5,7.0,6.5,6.0
363,Oman, Both sexes,3.5,3.6,3.5,4.8
364,Oman, Male,4.8,5.0,5.1,7.1
365,Oman, Female,0.9,1.0,1.0,1.6
