,Country,Sex,2016,2015,2010,2000
432,Seychelles, Both sexes,8.3,8.5,9.0,9.4
433,Seychelles, Male,15.0,15.1,15.6,16.7
434,Seychelles, Female,2.1,2.1,2.2,2.5
435,Sierra Leone, Both sexes,16.1,15.7,16.0,19.2
436,Sierra Leone, Male,18.2,17.4,17.7,21.9
437,Sierra Leone, Female,14.2,13.9,14.3,16.6
438,Singapore, Both sexes,7.9,7.6,8.4,11.7
439,Singapore, Male,11.1,10.2,11.1,15.5
440,Singapore, Female,4.9,5.2,6.0,8.1
441,Slovakia, Both sexes,10.1,10.1,11.4,12.8
442,Slovakia, Male,18.4,18.4,20.6,22.2
443,Slovakia, Female,2.6,2.6,3.1,4.4
444,Slovenia, Both sexes,13.3,14.8,15.5,26.0
445,Slovenia, Male,22.4,24.3,26.5,40.5
446,Slovenia, Female,4.5,5.8,5.1,13.2
447,Solomon Islands, Both sexes,5.9,6.1,7.1,12.7
448,Solomon Islands, Male,8.5,8.8,10.0,16.9
449,Solomon Islands, Female,3.2,3.4,4.2,8.4
450,Somalia, Both sexes,8.3,8.3,7.6,8.2
451,Somalia, Male,11.5,11.4,10.3,11.0
452,Somalia, Female,5.4,5.4,5.2,5.6
453,South Africa, Both sexes,12.8,13.1,13.9,14.4
454,South Africa, Male,21.7,22.1,22.9,22.7
455,South Africa, Female,5.1,5.3,6.1,7.1
456,South Sudan, Both sexes,6.1,6.0,6.7,8.0
457,South Sudan, Male,8.3,8.2,9.1,11.0
458,South Sudan, Female,4.1,4.0,4.5,5.3
459,Spain, Both sexes,6.1,5.7,5.1,6.5
460,Spain, Male,9.3,8.7,8.1,10.4
461,Spain, Female,3.1,3.0,2.2,3.0
462,Sri Lanka, Both sexes,14.2,14.5,19.2,30.3
463,Sri Lanka, Male,23.3,24.0,31.2,47.8
464,Sri Lanka, Female,6.2,6.1,8.4,13.5
465,Sudan, Both sexes,9.5,9.5,9.5,9.5
466,Sudan, Male,14.5,14.5,14.6,14.6
467,Sudan, Female,4.6,4.5,4.6,4.4
468,Suriname, Both sexes,23.2,24.4,28.3,26.4
469,Suriname, Male,36.1,38.0,43.7,41.5
470,Suriname, Female,10.9,11.4,13.3,11.6
471,Sweden, Both sexes,11.7,12.3,12.0,12.2
472,Sweden, Male,15.8,16.9,17.1,16.8
473,Sweden, Female,7.4,7.7,6.8,7.7
474,Switzerland, Both sexes,11.3,11.4,11.3,16.8
475,Switzerland, Male,15.8,16.1,15.9,24.7
476,Switzerland, Female,6.9,6.9,7.0,9.4
477,Syrian Arab Republic, Both sexes,2.4,2.4,2.4,1.8
478,Syrian Arab Republic, Male,3.8,3.8,3.7,2.9
479,Syrian Arab Republic, Female,1.1,1.1,1.1,0.8
480,Tajikistan, Both sexes,3.3,3.4,3.4,4.2
481,Tajikistan, Male,5.0,5.0,5.0,6.3
482,Tajikistan, Female,1.7,1.8,1.8,2.2
483,Thailand, Both sexes,12.9,13.1,13.0,15.9
484,Thailand, Male,21.4,21.7,21.0,23.7
485,Thailand, Female,4.8,4.9,5.5,8.3
486,Timor-Leste, Both sexes,6.4,6.4,7.6,13.6
487,Timor-Leste, Male,9.0,9.0,10.5,18.7
488,Timor-Leste, Female,3.7,3.8,4.7,8.3
489,Togo, Both sexes,16.6,16.3,16.9,17.2
490,Togo, Male,22.7,22.3,23.0,23.2
491,Togo, Female,10.9,10.7,11.2,11.8
492,Tonga, Both sexes,4.0,4.0,4.3,4.5
493,Tonga, Male,5.2,5.2,5.5,5.1
494,Tonga, Female,2.9,2.9,3.1,3.9
495,Trinidad and Tobago, Both sexes,12.9,12.8,13.5,15.2
496,Trinidad and Tobago, Male,21.9,21.7,22.1,24.0
497,Trinidad and Tobago, Female,4.3,4.4,5.4,6.4
498,Tunisia, Both sexes,3.2,3.3,3.6,3.8
499,Tunisia, Male,4.4,4.4,5.0,5.4
500,Tunisia, Female,2.2,2.2,2.3,2.3
501,Turkey, Both sexes,7.2,7.2,8.1,7.3
502,Turkey, Male,11.3,11.3,12.8,12.0
503,Turkey, Female,3.2,3.3,3.8,2.9
504,Turkmenistan, Both sexes,7.2,7.5,7.7,9.9
505,Turkmenistan, Male,11.0,11.6,12.2,16.4
506,Turkmenistan, Female,3.7,3.8,3.6,4.0
507,Uganda, Both sexes,20.0,20.2,21.8,22.8
508,Uganda, Male,21.2,21.1,21.2,21.2
509,Uganda, Female,18.7,19.2,22.0,23.9
510,Ukraine, Both sexes,18.5,19.0,22.6,32.0
511,Ukraine, Male,34.5,35.2,41.5,58.1
512,Ukraine, Female,4.7,5.1,6.4,9.5
513,United Arab Emirates, Both sexes,2.7,2.7,2.8,3.4
514,United Arab Emirates, Male,3.5,3.5,3.6,4.3
515,United Arab Emirates, Female,0.8,0.8,0.9,1.5
516,United Kingdom of Great Britain and Northern Ireland, Both sexes,7.6,7.6,6.9,8.1
517,United Kingdom of Great Britain and Northern Ireland, Male,11.9,11.6,10.6,12.7
518,United Kingdom of Great Britain and Northern Ireland, Female,3.5,3.7,3.2,3.8
519,United Republic of Tanzania, Both sexes,9.6,9.5,9.3,11.8
520,United Republic of Tanzania, Male,14.3,14.2,13.8,18.2
521,United Republic of Tanzania, Female,5.4,5.3,5.2,6.4
522,United States of America, Both sexes,13.7,13.3,11.8,10.1
523,United States of America, Male,21.1,20.5,18.6,16.5
524,United States of America, Female,6.4,6.3,5.2,4.1
525,Uruguay, Both sexes,16.5,17.4,14.9,15.9
526,Uruguay, Male,26.8,28.9,24.3,28.0
527,Uruguay, Female,7.1,7.0,6.7,5.5
528,Uzbekistan, Both sexes,7.4,7.4,6.0,9.1
529,Uzbekistan, Male,10.3,10.4,8.9,13.9
530,Uzbekistan, Female,4.6,4.5,3.3,4.5
531,Vanuatu, Both sexes,5.4,5.5,6.2,8.7
532,Vanuatu, Male,8.1,8.3,9.1,12.3
533,Vanuatu, Female,2.7,2.7,3.2,5.1
534,Venezuela (Bolivarian Republic of), Both sexes,3.8,3.9,4.5,9.1
535,Venezuela (Bolivarian Republic of), Male,6.6,6.8,7.7,16.1
536,Venezuela (Bolivarian Republic of), Female,1.2,1.2,1.5,2.4
537,Viet Nam, Both sexes,7.0,7.0,7.1,7.5
538,Viet Nam, Male,10.8,10.9,11.0,11.5
539,Viet Nam, Female,3.4,3.5,3.5,3.9
540,Yemen, Both sexes,9.8,9.9,10.6,9.1
541,Yemen, Male,13.4,13.6,14.6,12.8
542,Yemen, Female,6.2,6.3,6.6,5.5
543,Zambia, Both sexes,11.3,11.2,11.5,14.1
544,Zambia, Male,17.5,17.4,17.9,21.9
545,Zambia, Female,6.2,6.1,6.2,7.5
546,Zimbabwe, Both sexes,19.1,18.9,20.6,21.7
547,Zimbabwe, Male,29.1,28.7,32.3,35.5
548,Zimbabwe, Female,11.1,11.1,11.1,9.8
