,Country,Sex, 80_above, 70to79, 60to69 , 50to59 , 40to49, 30to39, 20to29, 10to19
210,Guyana, Both sexes,38.6,29.8,31.7,46.6,54.8,40.0,38.0,18.3
211,Guyana, Male,91.4,53.6,52.1,73.8,86.5,66.2,56.0,18.2
212,Guyana, Female,0.0,9.9,13.2,19.1,21.8,15.0,19.3,18.4
213,Haiti, Both sexes,15.0,12.7,11.6,10.7,13.6,18.8,21.5,9.7
214,Haiti, Male,24.7,20.6,19.3,17.5,22.3,30.3,31.5,10.4
215,Haiti, Female,8.3,6.4,4.9,4.4,5.6,7.8,11.6,9.1
216,Honduras, Both sexes,15.8,5.3,4.9,5.4,4.4,4.5,4.0,1.3
217,Honduras, Male,27.9,7.8,8.4,8.5,7.1,7.2,5.7,1.5
218,Honduras, Female,7.2,3.3,1.9,2.6,1.9,1.9,2.2,1.1
219,Hungary, Both sexes,47.4,37.3,28.1,30.0,21.3,13.7,8.9,2.7
220,Hungary, Male,99.3,67.5,48.3,47.5,32.7,21.2,14.1,4.1
221,Hungary, Female,25.9,19.0,12.2,14.2,9.8,6.0,3.5,1.3
222,Iceland, Both sexes,8.0,8.5,24.0,13.4,20.4,21.2,14.9,10.8
223,Iceland, Male,0.0,12.2,37.4,17.7,38.2,30.5,25.1,21.2
224,Iceland, Female,13.7,5.1,10.3,9.3,2.4,11.6,4.2,0.0
225,India, Both sexes,24.5,21.9,17.5,16.8,17.7,22.9,30.3,11.2
226,India, Male,37.7,25.3,21.7,22.5,24.2,29.4,27.8,7.8
227,India, Female,13.6,18.9,13.3,10.9,10.9,15.8,33.1,15.0
228,Indonesia, Both sexes,14.4,7.9,6.6,4.6,4.5,3.6,5.1,2.0
229,Indonesia, Male,18.2,12.0,9.4,6.9,6.4,4.9,7.4,2.7
230,Indonesia, Female,12.0,4.6,3.7,2.4,2.6,2.2,2.6,1.3
231,Iran (Islamic Republic of), Both sexes,14.3,8.8,4.6,3.7,3.5,5.0,6.8,2.8
232,Iran (Islamic Republic of), Male,18.2,11.4,5.9,5.2,4.7,6.9,8.0,2.3
233,Iran (Islamic Republic of), Female,10.0,5.7,3.3,2.2,2.3,3.3,5.6,3.3
234,Iraq, Both sexes,9.1,5.8,5.6,6.6,7.0,5.4,4.8,1.2
235,Iraq, Male,11.9,7.1,6.5,8.3,7.8,6.3,5.4,1.3
236,Iraq, Female,7.4,4.8,4.8,5.0,6.1,4.5,4.2,1.0
237,Ireland, Both sexes,11.0,8.2,12.4,19.5,18.0,13.7,15.8,4.1
238,Ireland, Male,11.7,13.0,22.0,31.8,29.2,22.7,25.8,5.9
239,Ireland, Female,10.6,3.8,3.1,7.4,6.8,5.2,5.9,2.2
240,Israel, Both sexes,19.0,9.8,7.9,9.4,8.4,5.7,5.9,1.4
241,Israel, Male,27.5,13.6,12.2,15.0,14.3,8.2,9.7,2.1
242,Israel, Female,13.5,6.6,4.0,4.1,2.7,3.1,2.0,0.7
243,Italy, Both sexes,22.9,13.3,10.2,9.5,8.1,6.4,5.0,1.4
244,Italy, Male,37.0,20.6,15.7,13.9,12.4,10.1,8.1,1.8
245,Italy, Female,14.6,7.2,5.1,5.2,3.8,2.6,1.9,0.9
246,Jamaica, Both sexes,5.3,3.7,2.8,2.9,2.7,2.5,2.8,1.2
247,Jamaica, Male,6.7,5.5,4.4,4.9,4.3,4.1,4.3,1.4
248,Jamaica, Female,4.3,2.1,1.2,1.0,1.0,1.0,1.3,0.9
249,Japan, Both sexes,27.8,25.7,20.8,23.9,20.7,18.6,18.6,4.8
250,Japan, Male,42.6,35.5,28.9,34.5,29.8,26.8,27.1,6.6
251,Japan, Female,19.7,17.5,12.9,13.1,11.3,10.0,9.6,3.0
252,Jordan, Both sexes,18.8,9.9,5.8,4.9,5.2,4.6,3.9,1.1
253,Jordan, Male,25.8,14.2,7.7,6.5,6.0,5.7,4.7,1.2
254,Jordan, Female,13.2,6.0,4.1,3.2,4.3,3.4,3.0,1.0
255,Kazakhstan, Both sexes,50.1,30.0,29.2,32.8,37.9,38.5,21.7,9.9
256,Kazakhstan, Male,90.6,61.9,57.8,61.6,67.9,66.0,35.7,13.3
257,Kazakhstan, Female,33.7,13.2,9.1,8.3,9.9,11.2,7.8,6.2
258,Kenya, Both sexes,56.2,28.0,12.7,8.4,4.8,3.6,3.8,1.4
259,Kenya, Male,107.7,49.0,21.1,13.7,7.8,6.0,6.4,2.4
260,Kenya, Female,17.1,11.1,5.7,3.7,1.9,1.3,1.2,0.5
261,Kiribati, Both sexes,37.1,18.8,14.5,10.4,11.1,16.7,33.5,16.0
262,Kiribati, Male,71.0,30.5,23.5,17.6,19.7,30.2,57.4,24.2
263,Kiribati, Female,21.6,11.3,7.2,4.2,3.4,4.5,9.0,7.3
264,Kuwait, Both sexes,0.0,4.9,2.6,2.3,2.1,3.4,4.3,0.8
265,Kuwait, Male,0.0,0.0,4.0,3.7,2.7,3.3,4.9,1.3
266,Kuwait, Female,0.0,11.7,0.0,0.0,1.0,3.4,3.6,0.3
267,Kyrgyzstan, Both sexes,14.3,9.0,10.4,11.7,14.8,13.6,9.2,7.3
268,Kyrgyzstan, Male,14.2,18.0,18.1,21.3,25.8,23.2,14.4,8.7
269,Kyrgyzstan, Female,14.4,3.3,4.4,3.1,4.3,3.9,4.0,5.9
270,Lao People's Democratic Republic, Both sexes,28.7,16.5,11.7,9.7,9.8,11.1,16.1,6.3
271,Lao People's Democratic Republic, Male,44.4,25.7,16.9,13.7,13.6,15.0,21.4,7.8
272,Lao People's Democratic Republic, Female,18.1,9.5,7.1,5.9,6.1,7.3,10.7,4.8
273,Latvia, Both sexes,31.7,23.7,25.6,30.8,25.4,27.3,18.0,5.4
274,Latvia, Male,74.0,54.5,46.5,57.7,43.4,47.2,30.5,9.3
275,Latvia, Female,17.6,8.2,11.1,8.0,8.4,6.7,4.8,1.3
276,Lebanon, Both sexes,11.3,7.6,5.7,5.2,4.5,3.9,3.7,1.0
277,Lebanon, Male,16.6,11.2,8.1,7.2,6.4,4.4,3.7,1.0
278,Lebanon, Female,7.2,4.0,3.2,2.4,2.3,3.3,3.7,0.9
279,Lesotho, Both sexes,164.7,97.1,55.4,48.5,35.7,28.7,23.3,9.7
280,Lesotho, Male,80.8,45.4,33.1,33.7,29.8,30.4,27.4,8.8
281,Lesotho, Female,210.4,133.7,69.9,56.9,40.7,26.9,19.1,10.6
282,Liberia, Both sexes,132.1,86.9,45.3,19.2,9.1,5.9,4.6,2.1
283,Liberia, Male,140.0,75.2,39.8,19.8,11.2,8.0,6.2,2.6
284,Liberia, Female,126.0,97.1,50.1,18.6,7.1,3.8,2.9,1.5
285,Libya, Both sexes,15.1,9.8,7.2,7.8,8.5,7.7,6.6,1.8
286,Libya, Male,23.9,16.1,11.6,13.3,13.7,12.2,10.0,2.6
287,Libya, Female,8.7,4.4,3.1,2.5,3.0,3.2,3.3,1.0
288,Lithuania, Both sexes,46.0,37.5,40.4,46.0,42.2,36.3,27.1,8.1
289,Lithuania, Male,126.6,81.6,78.5,85.4,75.0,63.2,49.6,13.4
290,Lithuania, Female,18.0,13.9,13.3,12.3,12.0,9.2,3.2,2.5
291,Luxembourg, Both sexes,32.8,38.5,21.1,19.2,14.1,9.1,8.0,4.8
292,Luxembourg, Male,44.4,50.2,28.9,28.6,20.5,13.0,12.8,6.7
293,Luxembourg, Female,26.1,28.6,13.1,9.3,7.3,5.3,3.0,2.9
294,Madagascar, Both sexes,56.2,35.9,18.4,11.3,6.6,4.1,3.3,1.9
295,Madagascar, Male,98.6,57.6,27.0,16.3,9.8,5.8,4.8,2.7
296,Madagascar, Female,20.4,18.1,10.7,6.5,3.5,2.3,1.9,1.1
297,Malawi, Both sexes,90.8,46.6,19.8,11.7,6.1,3.9,3.2,1.3
298,Malawi, Male,178.0,80.1,33.9,20.8,10.1,6.5,5.2,2.0
299,Malawi, Female,32.5,21.6,9.5,4.7,2.2,1.4,1.2,0.6
300,Malaysia, Both sexes,47.3,24.3,15.8,10.9,5.9,4.4,4.0,1.9
301,Malaysia, Male,60.1,33.6,21.9,15.8,8.5,6.4,6.0,2.9
302,Malaysia, Female,36.4,15.6,9.7,5.7,3.2,2.2,1.8,0.9
303,Maldives, Both sexes,26.0,14.0,5.7,2.6,1.9,1.8,2.8,1.2
304,Maldives, Male,34.9,19.5,7.8,3.7,2.6,2.4,3.5,1.0
305,Maldives, Female,14.3,8.2,3.4,1.3,0.9,0.8,1.6,1.4
306,Mali, Both sexes,69.2,39.4,20.8,12.6,7.4,6.7,7.4,2.8
307,Mali, Male,113.9,60.1,30.0,18.8,12.0,11.0,10.8,3.6
308,Mali, Female,31.9,23.3,13.4,7.3,3.0,2.5,3.9,1.9
309,Malta, Both sexes,12.4,8.8,3.8,13.2,13.0,7.7,5.3,4.8
310,Malta, Male,33.0,14.0,6.8,20.9,22.1,12.6,8.3,4.2
311,Malta, Female,0.0,4.3,1.0,5.5,3.5,2.4,2.1,5.3
312,Mauritania, Both sexes,60.5,37.3,20.7,12.9,6.8,4.6,4.3,1.4
313,Mauritania, Male,112.3,61.9,32.0,19.9,10.9,7.2,6.5,1.8
314,Mauritania, Female,25.8,19.6,10.9,6.1,2.7,1.9,2.0,1.0
315,Mauritius, Both sexes,4.0,5.5,6.4,7.4,11.0,11.8,12.9,3.7
316,Mauritius, Male,11.5,12.9,11.9,12.7,18.4,19.2,20.4,7.4
317,Mauritius, Female,0.0,0.0,1.5,2.3,3.5,4.4,5.2,0.0
318,Mexico, Both sexes,15.7,7.9,6.1,5.9,6.0,6.5,7.5,4.2
319,Mexico, Male,24.8,13.0,10.7,10.1,10.2,10.4,11.8,5.3
320,Mexico, Female,9.5,3.3,1.9,2.0,1.9,2.7,3.1,3.1
321,Micronesia (Federated States of), Both sexes,39.7,17.6,13.8,9.3,8.0,12.2,21.9,10.8
322,Micronesia (Federated States of), Male,61.3,25.4,19.7,14.1,12.7,18.4,31.5,13.6
323,Micronesia (Federated States of), Female,24.7,11.7,8.2,4.7,4.3,5.1,11.2,7.8
324,Mongolia, Both sexes,19.0,15.9,12.5,17.4,22.2,21.7,16.4,6.9
325,Mongolia, Male,42.8,27.4,20.4,31.5,40.0,39.3,27.8,10.7
326,Mongolia, Female,6.6,7.4,6.1,5.2,5.1,3.7,4.8,3.1
327,Montenegro, Both sexes,42.0,25.3,17.9,13.0,9.5,8.2,6.4,2.4
328,Montenegro, Male,70.8,40.5,27.7,18.7,14.3,13.8,10.7,4.0
329,Montenegro, Female,23.9,14.5,9.0,7.3,4.8,2.5,1.8,0.6
330,Morocco, Both sexes,18.5,7.9,4.6,3.3,3.4,3.8,3.8,1.1
331,Morocco, Male,16.2,7.5,3.1,2.4,3.1,3.7,2.8,0.8
332,Morocco, Female,20.0,8.2,6.0,4.2,3.7,3.9,4.8,1.5
333,Mozambique, Both sexes,76.3,41.9,17.1,11.5,7.2,6.5,6.1,2.9
334,Mozambique, Male,154.6,72.0,25.5,18.4,11.3,10.4,9.5,4.2
335,Mozambique, Female,27.7,20.4,10.4,6.0,3.8,2.9,2.8,1.5
336,Myanmar, Both sexes,26.6,15.7,11.7,8.8,8.8,10.3,12.3,4.7
337,Myanmar, Male,17.8,14.4,10.8,7.4,6.4,7.6,9.6,3.3
338,Myanmar, Female,32.1,16.7,12.4,10.1,11.0,12.9,15.0,6.2
339,Namibia, Both sexes,39.1,26.5,19.7,20.8,15.8,12.7,11.4,4.6
340,Namibia, Male,75.9,44.2,32.7,34.2,25.8,21.7,19.9,7.2
341,Namibia, Female,18.7,14.8,10.6,10.1,6.9,4.3,3.1,2.0
342,Nepal, Both sexes,38.6,18.4,12.5,10.8,9.6,10.8,15.8,6.0
343,Nepal, Male,59.0,24.8,17.6,15.7,12.5,11.9,16.4,5.0
344,Nepal, Female,22.8,12.7,8.1,5.9,7.0,9.9,15.3,7.0
345,Netherlands, Both sexes,32.8,16.9,17.3,19.3,15.0,12.3,8.3,2.4
346,Netherlands, Male,37.6,21.2,23.3,25.8,20.3,16.9,11.5,2.9
347,Netherlands, Female,29.9,13.0,11.4,12.8,9.7,7.6,5.1,1.8
348,New Zealand, Both sexes,21.7,9.0,8.1,14.6,16.4,14.3,18.1,11.2
349,New Zealand, Male,24.4,16.5,12.7,20.8,27.3,21.6,27.1,14.2
350,New Zealand, Female,19.7,2.2,3.8,8.9,6.5,7.5,8.7,8.1
351,Nicaragua, Both sexes,9.4,7.9,8.2,9.8,12.2,17.0,24.2,11.6
352,Nicaragua, Male,19.4,15.4,15.5,18.1,21.1,29.4,38.9,13.2
353,Nicaragua, Female,2.4,1.8,2.4,2.9,4.5,5.2,9.0,10.0
354,Niger, Both sexes,69.1,42.1,22.8,15.9,7.8,5.6,5.2,3.1
355,Niger, Male,94.7,49.6,26.5,18.0,10.2,8.6,7.7,4.0
356,Niger, Female,49.2,36.2,18.8,13.2,5.4,2.8,3.0,2.1
357,Nigeria, Both sexes,127.0,86.9,48.8,26.0,14.6,12.1,11.4,4.0
358,Nigeria, Male,130.7,74.0,41.7,25.0,17.0,14.7,13.9,4.3
359,Nigeria, Female,123.9,98.6,55.4,27.1,12.2,9.5,8.9,3.7
360,Norway, Both sexes,32.1,12.4,16.3,17.6,15.1,13.1,12.2,3.0
361,Norway, Male,37.1,17.4,20.9,22.8,20.2,18.7,17.0,3.9
362,Norway, Female,29.1,7.9,11.7,12.1,9.6,7.1,7.1,2.2
363,Oman, Both sexes,11.7,5.6,3.3,3.6,4.0,5.2,6.3,1.4
364,Oman, Male,16.4,8.5,4.7,4.7,5.1,6.7,8.5,2.4
365,Oman, Female,7.9,2.5,1.7,1.0,0.9,1.1,1.2,0.4
